TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.00022,5
20000,0.000534,10
30000,0.000937,15
40000,0.001488,20
50000,0.002386,25
60000,0.00318,30
70000,0.004059,35
80000,0.004934,40
90000,0.006083,45
100000,0.007092,50
110000,0.008353,55
120000,0.009694,60
130000,0.011119,65
140000,0.012632,70
150000,0.014254,75
160000,0.01593,80
170000,0.017692,85
180000,0.019828,90
190000,0.021824,95
200000,0.024783,100
210000,0.026565,105
220000,0.028395,110
230000,0.030694,115
240000,0.033176,120
250000,0.036027,125
260000,0.038122,130
270000,0.041323,135
280000,0.044287,140
290000,0.046484,145
300000,0.049549,150
310000,0.052715,155
320000,0.055836,160
330000,0.059062,165
340000,0.062656,170
350000,0.065921,175
360000,0.070622,180
370000,0.073194,185
380000,0.077005,190
390000,0.08076,195
400000,0.08475,200
410000,0.088714,205
420000,0.092941,210
430000,0.097082,215
440000,0.101454,220
450000,0.105806,225
460000,0.110522,230
470000,0.115109,235
480000,0.119772,240
490000,0.124413,245
500000,0.129371,250
510000,0.134268,255
520000,0.139422,260
530000,0.144846,265
540000,0.149911,270
550000,0.155495,275
560000,0.160625,280
570000,0.166187,285
580000,0.172116,290
590000,0.177838,295
600000,0.183718,300
610000,0.189434,305
620000,0.195372,310
630000,0.201243,315
640000,0.210081,320
650000,0.218236,325
660000,0.225726,330
670000,0.230782,335
680000,0.234516,340
690000,0.24471,345
700000,0.251713,350
710000,0.26625,355
720000,0.261964,360
730000,0.268756,365
740000,0.275182,370
750000,0.281947,375
760000,0.289313,380
770000,0.299888,385
780000,0.310372,390
790000,0.311625,395
800000,0.324094,400
810000,0.33368,405
820000,0.335135,410
830000,0.345913,415
840000,0.355578,420
850000,0.366321,425
860000,0.375252,430
870000,0.382729,435
880000,0.395252,440
890000,0.399538,445
900000,0.409194,450
910000,0.418155,455
920000,0.427316,460
930000,0.436086,465
940000,0.446393,470
950000,0.446208,475
960000,0.459623,480
970000,0.466094,485
980000,0.479882,490
990000,0.485887,495
1000000,0.499793,500
