TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.003409,20
20000,0.013063,40
30000,0.028949,60
40000,0.051444,80
50000,0.080537,100
60000,0.115801,120
70000,0.157982,140
80000,0.204615,160
90000,0.258477,180
100000,0.321371,200
110000,0.385342,220
120000,0.459786,240
130000,0.540502,260
140000,0.626517,280
150000,0.716292,300
160000,0.81753,320
170000,0.936019,340
180000,1.04974,360
190000,1.15492,380
200000,1.28578,400
210000,1.40139,420
220000,1.54883,440
230000,1.69892,460
240000,1.84822,480
250000,2.0072,500
260000,2.16401,520
270000,2.33922,540
280000,2.51229,560
290000,2.70596,580
300000,2.86733,600
310000,3.09541,620
320000,3.26758,640
330000,3.5007,660
340000,3.7104,680
350000,3.9203,700
360000,4.14187,720
370000,4.40104,740
380000,4.65121,760
390000,4.85075,780
400000,5.14609,800
410000,5.44536,820
420000,5.61938,840
430000,5.91817,860
440000,6.21832,880
450000,6.49337,900
460000,6.79436,920
470000,7.08553,940
480000,7.41198,960
490000,7.76246,980
500000,8.09187,1000
510000,8.40254,1020
520000,8.70606,1040
530000,9.05225,1060
540000,9.38771,1080
550000,9.72738,1100
560000,10.1426,1120
570000,10.4792,1140
580000,10.8425,1160
590000,11.2241,1180
600000,11.6214,1200
610000,11.9976,1220
620000,12.3916,1240
630000,12.7981,1260
640000,13.2178,1280
650000,13.6582,1300
660000,14.0729,1320
670000,14.5641,1340
680000,14.9995,1360
690000,15.368,1380
700000,15.8797,1400
710000,16.2819,1420
720000,16.8637,1440
730000,17.2191,1460
740000,17.6664,1480
750000,18.1468,1500
760000,18.6902,1520
770000,19.2465,1540
780000,19.6336,1560
790000,20.1584,1580
800000,20.6848,1600
810000,21.2151,1620
820000,21.6796,1640
830000,22.2399,1660
840000,22.7767,1680
850000,23.4437,1700
860000,23.8861,1720
870000,24.4212,1740
880000,24.983,1760
890000,25.5297,1780
900000,26.1241,1800
910000,26.7164,1820
920000,27.2853,1840
930000,27.906,1860
940000,28.7238,1880
950000,29.1046,1900
960000,29.7386,1920
970000,30.451,1940
980000,31.0711,1960
990000,31.647,1980
1000000,32.294,2000
