TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.003569,100
20000,0.006869,100
30000,0.008575,100
40000,0.009653,100
50000,0.010573,100
60000,0.010619,100
70000,0.010775,100
80000,0.010929,100
90000,0.011392,100
100000,0.012104,100
110000,0.013017,100
120000,0.014195,100
130000,0.015379,100
140000,0.01654,100
150000,0.017752,100
160000,0.018933,100
170000,0.020117,100
180000,0.021358,100
190000,0.022903,100
200000,0.023663,100
210000,0.024851,100
220000,0.026033,100
230000,0.027232,100
240000,0.028419,100
250000,0.029597,100
260000,0.030775,100
270000,0.031971,100
280000,0.033124,100
290000,0.034331,100
300000,0.035589,100
310000,0.036763,100
320000,0.037916,100
330000,0.039047,100
340000,0.040274,100
350000,0.04166,100
360000,0.04269,100
370000,0.043941,100
380000,0.045009,100
390000,0.046198,100
400000,0.047353,100
410000,0.048573,100
420000,0.049902,100
430000,0.051008,100
440000,0.052191,100
450000,0.053388,100
460000,0.054455,100
470000,0.05568,100
480000,0.057001,100
490000,0.058124,100
500000,0.059231,100
510000,0.060378,100
520000,0.061773,100
530000,0.065905,100
540000,0.064501,100
550000,0.066092,100
560000,0.06773,100
570000,0.067676,100
580000,0.068693,100
590000,0.070732,100
600000,0.071095,100
610000,0.072403,100
620000,0.074064,100
630000,0.075476,100
640000,0.076536,100
650000,0.077867,100
660000,0.078454,100
670000,0.079598,100
680000,0.080911,100
690000,0.083037,100
700000,0.083481,100
710000,0.086165,100
720000,0.085263,100
730000,0.086543,100
740000,0.087691,100
750000,0.088812,100
760000,0.090028,100
770000,0.091181,100
780000,0.092342,100
790000,0.09353,100
800000,0.094731,100
810000,0.095869,100
820000,0.097098,100
830000,0.098281,100
840000,0.099402,100
850000,0.100634,100
860000,0.10181,100
870000,0.102982,100
880000,0.104202,100
890000,0.105467,100
900000,0.106557,100
910000,0.10774,100
920000,0.108916,100
930000,0.110073,100
940000,0.111257,100
950000,0.112486,100
960000,0.11365,100
970000,0.11488,100
980000,0.116021,100
990000,0.117207,100
1000000,0.118398,100
