TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.017917,100
20000,0.035851,100
30000,0.063404,100
40000,0.071263,100
50000,0.079306,100
60000,0.127342,100
70000,0.134639,100
80000,0.142219,100
90000,0.14996,100
100000,0.158564,100
110000,0.245896,100
120000,0.254217,100
130000,0.27244,100
140000,0.277504,100
150000,0.278002,100
160000,0.285626,100
170000,0.292122,100
180000,0.300107,100
190000,0.30802,100
200000,0.316249,100
210000,0.486979,100
220000,0.492559,100
230000,0.499669,100
240000,0.517226,100
250000,0.516005,100
260000,0.523555,100
270000,0.531649,100
280000,0.540622,100
290000,0.549497,100
300000,0.55985,100
310000,0.570731,100
320000,0.571609,100
330000,0.578209,100
340000,0.584407,100
350000,0.599201,100
360000,0.602359,100
370000,0.608751,100
380000,0.616163,100
390000,0.623925,100
400000,0.632409,100
410000,0.684866,100
420000,0.96942,100
430000,0.979773,100
440000,0.988924,100
450000,0.995206,100
460000,1.01808,100
470000,1.02109,100
480000,1.03505,100
490000,1.04161,100
500000,1.03835,100
510000,1.05774,100
520000,1.06713,100
530000,1.07942,100
540000,1.0604,100
550000,1.07129,100
560000,1.07829,100
570000,1.09924,100
580000,1.09242,100
590000,1.09885,100
600000,1.10799,100
610000,1.11733,100
620000,1.12404,100
630000,1.13042,100
640000,1.14414,100
650000,1.16838,100
660000,1.17394,100
670000,1.16405,100
680000,1.16998,100
690000,1.17817,100
700000,1.1872,100
710000,1.19418,100
720000,1.20056,100
730000,1.20836,100
740000,1.21757,100
750000,1.24138,100
760000,1.24178,100
770000,1.23901,100
780000,1.24802,100
790000,1.2833,100
800000,1.28879,100
810000,1.29519,100
820000,1.37814,100
830000,1.96594,100
840000,1.97301,100
850000,1.97895,100
860000,1.99172,100
870000,1.99023,100
880000,1.98357,100
890000,2.00601,100
900000,1.98026,100
910000,2.00499,100
920000,2.03553,100
930000,2.03426,100
940000,2.01925,100
950000,2.01893,100
960000,2.0312,100
970000,2.0364,100
980000,2.04386,100
990000,2.05475,100
1000000,2.05761,100
