TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.187888,1000
20000,0.390174,1000
30000,0.472635,1000
40000,0.804478,1000
50000,0.882588,1000
60000,0.97107,1000
70000,1.54472,1000
80000,1.61394,1000
90000,1.71017,1000
100000,1.79593,1000
110000,1.87702,1000
120000,1.95446,1000
130000,3.02781,1000
140000,3.07457,1000
150000,3.15247,1000
160000,3.22998,1000
170000,3.30814,1000
180000,3.38631,1000
190000,3.46444,1000
200000,3.54296,1000
210000,3.62073,1000
220000,3.69887,1000
230000,3.77709,1000
240000,3.85534,1000
250000,3.93303,1000
260000,6.04426,1000
270000,6.20367,1000
280000,6.28221,1000
290000,6.34539,1000
300000,6.32812,1000
310000,6.39961,1000
320000,6.5402,1000
330000,6.60461,1000
340000,6.75525,1000
350000,6.83032,1000
360000,6.82923,1000
370000,6.91517,1000
380000,7.02412,1000
390000,7.11186,1000
400000,7.21012,1000
410000,7.30851,1000
420000,7.39706,1000
430000,7.45102,1000
440000,7.43978,1000
450000,7.52137,1000
460000,7.66696,1000
470000,7.68445,1000
480000,7.78937,1000
490000,7.81236,1000
500000,7.8885,1000
510000,8.00981,1000
520000,12.1301,1000
530000,12.2998,1000
540000,12.3349,1000
550000,12.3918,1000
560000,12.4828,1000
570000,12.5532,1000
580000,12.5586,1000
590000,12.6099,1000
600000,12.7111,1000
610000,12.7648,1000
620000,12.9371,1000
630000,13.1381,1000
640000,13.2156,1000
650000,13.2968,1000
660000,13.1671,1000
670000,13.4586,1000
680000,13.51,1000
690000,13.6152,1000
700000,13.5869,1000
710000,13.5176,1000
720000,13.7264,1000
730000,13.7751,1000
740000,13.9272,1000
750000,14.0025,1000
760000,14.0411,1000
770000,14.0719,1000
780000,14.2196,1000
790000,14.4074,1000
800000,14.3426,1000
810000,14.4087,1000
820000,14.4715,1000
830000,14.6802,1000
840000,14.761,1000
850000,14.8407,1000
860000,14.6886,1000
870000,14.8682,1000
880000,15.0774,1000
890000,15.2131,1000
900000,15.2584,1000
910000,15.2672,1000
920000,15.458,1000
930000,15.4802,1000
940000,15.5414,1000
950000,15.6649,1000
960000,15.7676,1000
970000,15.9426,1000
980000,15.7091,1000
990000,15.8992,1000
1000000,15.9593,1000
