TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.000815,10
20000,0.001332,10
30000,0.002004,10
40000,0.002656,10
50000,0.002837,10
60000,0.003395,10
70000,0.003453,10
80000,0.003561,10
90000,0.00395,10
100000,0.003902,10
110000,0.00392,10
120000,0.003941,10
130000,0.00401,10
140000,0.00414,10
150000,0.004284,10
160000,0.004556,10
170000,0.004841,10
180000,0.004786,10
190000,0.005043,10
200000,0.005314,10
210000,0.005585,10
220000,0.005843,10
230000,0.006117,10
240000,0.006382,10
250000,0.006638,10
260000,0.006907,10
270000,0.007529,10
280000,0.007926,10
290000,0.007707,10
300000,0.007974,10
310000,0.00823,10
320000,0.008512,10
330000,0.008787,10
340000,0.009032,10
350000,0.009339,10
360000,0.009555,10
370000,0.009819,10
380000,0.010102,10
390000,0.01035,10
400000,0.010616,10
410000,0.010879,10
420000,0.011145,10
430000,0.011415,10
440000,0.011676,10
450000,0.011951,10
460000,0.012209,10
470000,0.012472,10
480000,0.012737,10
490000,0.013002,10
500000,0.013268,10
510000,0.013532,10
520000,0.013798,10
530000,0.014064,10
540000,0.014334,10
550000,0.014596,10
560000,0.014864,10
570000,0.015124,10
580000,0.015393,10
590000,0.015654,10
600000,0.015921,10
610000,0.016194,10
620000,0.016451,10
630000,0.01672,10
640000,0.016983,10
650000,0.017251,10
660000,0.01752,10
670000,0.017815,10
680000,0.018081,10
690000,0.018362,10
700000,0.018624,10
710000,0.01888,10
720000,0.019147,10
730000,0.01941,10
740000,0.019688,10
750000,0.019956,10
760000,0.020205,10
770000,0.020518,10
780000,0.02074,10
790000,0.021018,10
800000,0.02128,10
810000,0.021553,10
820000,0.021781,10
830000,0.022032,10
840000,0.022319,10
850000,0.022578,10
860000,0.022834,10
870000,0.025226,10
880000,0.02354,10
890000,0.023776,10
900000,0.023888,10
910000,0.024944,10
920000,0.025523,10
930000,0.024796,10
940000,0.025157,10
950000,0.025278,10
960000,0.025478,10
970000,0.025746,10
980000,0.026025,10
990000,0.026273,10
1000000,0.026538,10
