TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.013976,500
20000,0.020965,500
30000,0.023482,500
40000,0.02383,500
50000,0.025565,500
60000,0.02943,500
70000,0.03427,500
80000,0.039735,500
90000,0.04415,500
100000,0.049112,500
110000,0.053988,500
120000,0.058909,500
130000,0.063946,500
140000,0.06893,500
150000,0.073877,500
160000,0.079081,500
170000,0.083557,500
180000,0.088674,500
190000,0.093433,500
200000,0.09834,500
210000,0.103336,500
220000,0.108212,500
230000,0.113169,500
240000,0.118082,500
250000,0.123017,500
260000,0.127915,500
270000,0.132891,500
280000,0.137903,500
290000,0.142716,500
300000,0.147661,500
310000,0.152556,500
320000,0.157501,500
330000,0.162426,500
340000,0.16737,500
350000,0.172301,500
360000,0.177248,500
370000,0.182134,500
380000,0.187066,500
390000,0.19201,500
400000,0.19692,500
410000,0.201863,500
420000,0.206795,500
430000,0.211716,500
440000,0.216667,500
450000,0.221678,500
460000,0.226557,500
470000,0.231447,500
480000,0.236352,500
490000,0.241292,500
500000,0.246212,500
510000,0.251151,500
520000,0.256163,500
530000,0.261022,500
540000,0.265925,500
550000,0.270877,500
560000,0.275825,500
570000,0.280732,500
580000,0.285647,500
590000,0.290589,500
600000,0.295537,500
610000,0.300457,500
620000,0.305391,500
630000,0.310288,500
640000,0.315222,500
650000,0.320148,500
660000,0.325104,500
670000,0.330014,500
680000,0.334935,500
690000,0.339851,500
700000,0.344782,500
710000,0.349686,500
720000,0.354655,500
730000,0.359593,500
740000,0.364526,500
750000,0.36944,500
760000,0.374392,500
770000,0.379349,500
780000,0.384212,500
790000,0.389154,500
800000,0.394103,500
810000,0.399041,500
820000,0.403938,500
830000,0.408907,500
840000,0.413871,500
850000,0.418777,500
860000,0.423637,500
870000,0.428565,500
880000,0.433497,500
890000,0.438443,500
900000,0.443362,500
910000,0.448294,500
920000,0.453199,500
930000,0.459267,500
940000,0.468054,500
950000,0.473115,500
960000,0.481954,500
970000,0.48697,500
980000,0.492746,500
990000,0.497505,500
1000000,0.502077,500
