TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.099123,500
20000,0.199688,500
30000,0.242259,500
40000,0.403976,500
50000,0.441053,500
60000,0.479892,500
70000,0.76898,500
80000,0.809711,500
90000,0.851942,500
100000,0.900578,500
110000,0.933927,500
120000,0.982084,500
130000,1.50827,500
140000,1.54269,500
150000,1.59052,500
160000,1.61972,500
170000,1.67465,500
180000,1.72367,500
190000,1.76281,500
200000,1.81364,500
210000,1.82299,500
220000,1.87636,500
230000,1.90624,500
240000,1.93298,500
250000,1.99238,500
260000,3.05275,500
270000,3.087,500
280000,3.08721,500
290000,3.12521,500
300000,3.16336,500
310000,3.20343,500
320000,3.27143,500
330000,3.29153,500
340000,3.32148,500
350000,3.35929,500
360000,3.39901,500
370000,3.49764,500
380000,3.54236,500
390000,3.58193,500
400000,3.62292,500
410000,3.66281,500
420000,3.70149,500
430000,3.74057,500
440000,3.78285,500
450000,3.7708,500
460000,3.81749,500
470000,3.90004,500
480000,3.94016,500
490000,3.98076,500
500000,4.01965,500
510000,4.05841,500
520000,6.08377,500
530000,6.0594,500
540000,6.09894,500
550000,6.13969,500
560000,6.17804,500
570000,6.24582,500
580000,6.37438,500
590000,6.41206,500
600000,6.45145,500
610000,6.49198,500
620000,6.53336,500
630000,6.57365,500
640000,6.61453,500
650000,6.65344,500
660000,6.65648,500
670000,6.60562,500
680000,6.64358,500
690000,6.68996,500
700000,6.79163,500
710000,6.82777,500
720000,6.91266,500
730000,6.97194,500
740000,7.01078,500
750000,7.04929,500
760000,7.08781,500
770000,7.12799,500
780000,7.12692,500
790000,7.11865,500
800000,7.21932,500
810000,7.20097,500
820000,7.31989,500
830000,7.36836,500
840000,7.29046,500
850000,7.31216,500
860000,7.44521,500
870000,7.44333,500
880000,7.42586,500
890000,7.46577,500
900000,7.50605,500
910000,7.54244,500
920000,7.58114,500
930000,7.63613,500
940000,7.81134,500
950000,7.75488,500
960000,7.88557,500
970000,7.92593,500
980000,7.96622,500
990000,8.00459,500
1000000,8.04323,500
